weaksignal,precursor,hto
incomplete job safety analysis,descumprimento de procedimento/non compliance with procedure,Humano
procedure not fully followed,descumprimento de procedimento/non compliance with procedure,Humano
procedure not fully followed,não seguiu o procedimento/did not follow procedure,Humano
pressure drop in critical line,pressão por produtividade/production pressure,Organizacional
hazard label unreadable,falha na análise de risco/failure in risk assessment,Organizacional
safety checks performed superficially,revisão técnica ausente/technical review missing,Organizacional
incomplete job safety analysis,revisão técnica ausente/technical review missing,Organizacional
incomplete job safety analysis,procedimento desatualizado/outdated procedure,Organizacional
procedure not fully followed,procedimento desatualizado/outdated procedure,Organizacional
procedural compliance variable,manutenção preventiva/preventive maintenance issue,Organizacional
poor lighting near equipment,sem inspeção/no inspection,Organizacional
visual inspection skipped,sem inspeção/no inspection,Organizacional
procedure not fully followed,procedimento ausente/missing procedure,Organizacional
recurrent alarm acknowledged without investigation,falha na análise de risco/failure in risk assessment,Organizacional
routine inspections delayed,sem inspeção/no inspection,Organizacional
safety checks performed superficially,sem inspeção/no inspection,Organizacional
unauthorized modification of settings,manutenção preventiva/preventive maintenance issue,Organizacional
recurring manual reset of safety valve,ruptura de tubulação/pipe rupture,Tecnico
recurring manual reset of safety valve,falha hidráulica/hydraulic failure,Tecnico
pressure drop in critical line,falha hidráulica/hydraulic failure,Tecnico
pressure drop in critical line,vazamento de gás/gas leak,Tecnico
multiple alarms triggered,falha de alarme/alarm failure,Tecnico
incomplete job safety analysis,equipamento mal calibrado/miscalibrated equipment,Tecnico
conflicting operational instructions,equipamento mal calibrado/miscalibrated equipment,Tecnico
incomplete job safety analysis,quebra de equipamento/equipment breakdown,Tecnico
conflicting operational instructions,quebra de equipamento/equipment breakdown,Tecnico
incomplete job safety analysis,falha técnica/tecnical fault,Tecnico
conflicting operational instructions,falha técnica/tecnical fault,Tecnico
equipment not fully isolated,falha hidráulica/hydraulic failure,Tecnico
equipment not fully isolated,quebra de equipamento/equipment breakdown,Tecnico
gas detector offline during activity,vazamento de gás/gas leak,Tecnico
small leak normalized,vazamento de gás/gas leak,Tecnico
gas smell dismissed as residual,vazamento de gás/gas leak,Tecnico
safety checks performed superficially,equipamento mal calibrado/miscalibrated equipment,Tecnico
poor lighting near equipment,falha de vedação/seal failure,Tecnico
visual inspection skipped,falha de vedação/seal failure,Tecnico
small leak normalized,ruptura de tubulação/pipe rupture,Tecnico
small leak normalized,falha hidráulica/hydraulic failure,Tecnico
sensor drift unnoticed,detector coberto/covered detector,Humano
poor lighting near equipment,detector coberto/covered detector,Humano
conflicting operational instructions,descumprimento de procedimento/non compliance with procedure,Humano
conflicting operational instructions,falha operacional/operational failure,Humano
conflicting operational instructions,não seguiu o procedimento/did not follow procedure,Humano
operator not certified for task,falha operacional/operational failure,Humano
conflicting operational instructions,decisão inadequada/inadequate decision,Humano
degraded sensor performance,falta de concentração/lack of concentration,Humano
degraded sensor performance,detector coberto/covered detector,Humano
gas detector offline during activity,detector coberto/covered detector,Humano
equipment not fully isolated,detector coberto/covered detector,Humano
gas smell dismissed as residual,detector coberto/covered detector,Humano
gas detector offline during activity,não estava usando/not wearing,Humano
incomplete job safety analysis,falha operacional/operational failure,Humano
